
Predictions were generated on 07-Sep-2020 at 14:35:40 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.1.0-173-g38fc45a8-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn; HydroDyn; SubDyn

Description from the FAST input file: Simulation: Wind: Seed 5	Velocity: 11.4mps 	Height of referenz velocity: 90m	AnalysisTime: 3630s;	Wave: Significant wave height: 1m	Zero upcrossing periode 9s

Time      	Wind1VelX 	Wind1VelY 	Wind1VelZ 	RootMFlp1 	RootMFlp2 	RootMFlp3 	RootMEdg1 	RootMEdg2 	RootMEdg3 	B1Pitch   	B2Pitch   	B3Pitch   	RtSpeed   	Wave1Elev 	-ReactMXss	-ReactMYss
(s)       	(m/s)     	(m/s)     	(m/s)     	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(deg)     	(deg)     	(deg)     	(rpm)     	(m)       	(Nm)      	(Nm)      
    0.0000	 1.257E+01	-1.872E+00	 8.510E-02	 8.161E+03	 1.136E+04	 1.147E+04	 2.486E+02	 2.000E+03	-2.032E+03	-6.004E-33	-5.776E-16	-2.183E-16	 1.200E+01	 0.000E+00	 9.176E+03	 1.412E+07
    0.0125	 1.274E+01	-1.819E+00	 6.967E-02	 9.396E+03	 1.082E+04	 1.080E+04	 2.511E+02	 1.443E+03	-1.314E+03	 6.981E-17	 1.745E-15	-2.834E-15	 1.206E+01	 0.000E+00	 7.667E+03	-5.659E+06
    0.0250	 1.291E+01	-1.767E+00	 5.425E-02	 1.114E+04	 9.942E+03	 9.837E+03	 1.542E+02	 5.335E+02	-1.681E+01	-2.373E-18	-5.836E-16	 1.799E-16	 1.212E+01	 0.000E+00	-6.681E+04	-3.704E+07
    0.0375	 1.308E+01	-1.715E+00	 3.883E-02	 1.160E+04	 9.631E+03	 9.592E+03	 2.060E+02	 3.572E+02	 5.017E+02	-1.437E-16	-2.998E-15	 2.441E-15	 1.215E+01	 0.000E+00	-1.605E+05	-3.401E+07
    0.0500	 1.325E+01	-1.662E+00	 2.340E-02	 1.055E+04	 1.009E+04	 1.016E+04	 5.405E+02	 1.145E+03	-1.552E+02	-1.052E-17	 1.167E-15	-2.036E-15	 1.217E+01	 0.000E+00	-1.036E+05	 1.258E+07
    0.0625	 1.314E+01	-1.789E+00	 1.540E-01	 9.488E+03	 1.061E+04	 1.071E+04	 9.469E+02	 2.069E+03	-9.828E+02	 1.998E-16	-2.517E-15	 1.376E-15	 1.217E+01	 0.000E+00	 2.423E+05	 6.407E+07
    0.0750	 1.304E+01	-1.915E+00	 2.845E-01	 9.895E+03	 1.038E+04	 1.053E+04	 1.114E+03	 2.210E+03	-7.845E+02	-3.483E-16	-4.063E-15	 2.609E-15	 1.215E+01	 0.000E+00	 8.555E+05	 7.865E+07
    0.0875	 1.294E+01	-2.041E+00	 4.150E-01	 1.150E+04	 9.435E+03	 9.772E+03	 1.011E+03	 1.621E+03	 3.914E+02	 4.610E-16	-6.386E-16	-5.310E-16	 1.211E+01	 0.000E+00	 1.574E+06	 5.795E+07
    0.1000	 1.283E+01	-2.168E+00	 5.456E-01	 1.262E+04	 8.657E+03	 9.298E+03	 9.462E+02	 1.245E+03	 1.273E+03	 1.050E-15	 3.787E-15	-4.753E-15	 1.205E+01	 0.000E+00	 2.205E+06	 4.180E+07
